Datetime,Close,Position,Strategy_Points,Cumulative_Strategy
2025-04-17 14:15:00,1295.8,1,-0.5,-0.5
2025-04-17 14:45:00,1296.0,1,0.20000000000004547,-0.2999999999999545
2025-04-18 09:00:00,1308.3,1,12.299999999999955,12.0
2025-04-18 09:15:00,1307.9,1,-0.3999999999998636,11.600000000000136
2025-04-18 09:30:00,1309.0,1,1.099999999999909,12.700000000000045
2025-04-18 09:45:00,1308.5,1,-0.5,12.200000000000045
2025-04-18 10:00:00,1308.8,1,0.2999999999999545,12.5
2025-04-18 10:15:00,1307.3,1,-1.5,11.0
2025-04-18 10:45:00,1310.3,1,3.0,14.0
2025-04-18 11:00:00,1309.6,1,-0.7000000000000455,13.299999999999955
2025-04-18 11:15:00,1309.9,1,0.3000000000001819,13.600000000000136
2025-04-18 13:00:00,1311.5,1,1.599999999999909,15.200000000000045
2025-04-18 13:15:00,1312.4,1,0.900000000000091,16.100000000000136
2025-04-18 13:30:00,1312.8,1,0.3999999999998636,16.5
2025-04-18 13:45:00,1318.2,1,5.400000000000091,21.90000000000009
2025-04-18 14:00:00,1317.4,1,-0.7999999999999545,21.100000000000136
2025-04-18 14:15:00,1307.5,1,-9.900000000000091,11.200000000000045
2025-04-18 14:45:00,1290.0,0,-17.200000000000045,-6.0
2025-05-05 13:00:00,1311.4,1,-0.5,-6.5
2025-05-05 13:15:00,1311.3,1,-0.10000000000013642,-6.600000000000136
2025-05-05 13:30:00,1311.1,1,-0.20000000000004547,-6.800000000000182
2025-05-05 13:45:00,1314.0,1,2.900000000000091,-3.900000000000091
2025-05-05 14:00:00,1315.4,1,1.400000000000091,-2.5
2025-05-05 14:15:00,1314.9,1,-0.5,-3.0
2025-05-05 14:45:00,1316.4,1,1.5,-1.5
2025-05-06 09:00:00,1319.5,1,3.099999999999909,1.599999999999909
2025-05-06 09:15:00,1321.2,1,1.7000000000000455,3.2999999999999545
2025-05-06 09:30:00,1319.7,1,-1.5,1.7999999999999545
2025-05-06 09:45:00,1320.7,1,1.0,2.7999999999999545
2025-05-06 10:00:00,1323.2,1,2.5,5.2999999999999545
2025-05-06 10:15:00,1323.0,1,-0.20000000000004547,5.099999999999909
2025-05-06 10:30:00,1324.5,1,1.5,6.599999999999909
2025-05-06 10:45:00,1322.2,1,-2.2999999999999545,4.2999999999999545
2025-05-06 11:00:00,1322.4,1,0.20000000000004547,4.5
2025-05-06 11:15:00,1323.2,1,0.7999999999999545,5.2999999999999545
2025-05-06 13:00:00,1323.4,1,0.20000000000004547,5.5
2025-05-06 13:15:00,1326.8,1,3.3999999999998636,8.899999999999864
2025-05-06 13:30:00,1329.8,1,3.0,11.899999999999864
2025-05-06 13:45:00,1325.8,1,-4.0,7.899999999999864
2025-05-06 14:00:00,1322.3,1,-3.5,4.399999999999864
2025-05-06 14:15:00,1318.7,0,-5.399999999999864,-1.0
2025-05-26 13:30:00,1403.2,1,-0.5,-1.5
2025-05-26 13:45:00,1402.7,1,-0.5,-2.0
2025-05-26 14:00:00,1408.2,1,5.5,3.5
2025-05-26 14:15:00,1416.6,1,8.399999999999864,11.899999999999864
2025-05-26 14:45:00,1416.5,1,-0.09999999999990905,11.799999999999955
2025-05-27 09:00:00,1416.8,1,0.2999999999999545,12.099999999999909
2025-05-27 09:15:00,1410.7,1,-6.099999999999909,6.0
2025-05-27 09:30:00,1410.9,1,0.20000000000004547,6.2000000000000455
2025-05-27 09:45:00,1410.7,1,-0.20000000000004547,6.0
2025-05-27 10:00:00,1413.0,1,2.2999999999999545,8.299999999999955
2025-05-27 10:15:00,1414.0,1,1.0,9.299999999999955
